Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
March,3,0.08,48,2,,,Obligation
March,3,0.09,50,2,,,Obligation
March,3,0.1,50,2,,,Obligation
March,3,0.11,5,2,,,Obligation
March,3,0.13,5,2,,,Obligation
March,3,0.14,5,2,,,Obligation
March,3,0.15,5,2,,,Obligation
March,3,0.16,5,2,,,Obligation
March,3,0.17,5,2,,,Obligation
March,3,0.18,5,2,,,Obligation
March,3,0.19,10,2,,,Obligation
March,3,0.2,15,2,,,Obligation
March,3,0.21,15,2,,,Obligation
March,3,0.22,20,2,,,Obligation
March,1124,0.12,1.8,2,,,Obligation
March,1124,0.15,74.8,2,,,Obligation
March,1124,0.2,20,2,,,Obligation
March,1124,1.39,17.3,1,,,Obligation
March,1124,1.39,18.1,7,,,Obligation
March,1124,1.75,3.1,1,,,Obligation
March,1124,1.75,1.2,7,,,Obligation
March,1124,1.9,15,1,,,Obligation
March,1124,2,10,7,,,Obligation
March,1320,0.05,100,2,,,Obligation
March,1320,0.07,50,2,,,Obligation
March,1320,0.08,50,2,,,Obligation
March,1320,0.1,100,2,,,Obligation
March,1320,1,50,1,,,Obligation
March,1320,1,50,7,,,Obligation
March,1320,1.25,25,1,,,Obligation
March,1320,1.25,25,7,,,Obligation
March,1320,1.3,25,1,,,Obligation
March,1320,1.3,25,7,,,Obligation
March,1099,0.05,25,2,,,Obligation
March,1099,0.07,25,2,,,Obligation
March,1099,1.21,25,7,,,Obligation
March,1099,1.26,25,7,,,Obligation
March,1099,1.42,25,7,,,Obligation
March,432,0.07,5,2,,,Obligation
March,432,0.08,5,2,,,Obligation
March,432,0.1,5,2,,,Obligation
March,284,0.11,10.5,2,,,Obligation
March,284,1.51,6.7,7,,,Obligation
March,471,1.64,7,7,,,Obligation
March,471,1.67,5,7,,,Obligation
March,471,1.7,5,7,,,Obligation
March,471,1.73,4,7,,,Obligation
March,471,1.76,2,7,,,Obligation
March,471,1.79,2,7,,,Obligation
March,471,1.82,2,7,,,Obligation
March,471,1.85,2,7,,,Obligation
March,471,1.88,2,7,,,Obligation
March,471,1.91,4,7,,,Obligation
March,471,1.94,4,7,,,Obligation
March,471,1.97,4,7,,,Obligation
March,471,2,4,7,,,Obligation
March,471,2.03,4,7,,,Obligation
March,471,2.06,5,7,,,Obligation
March,7,0.02,6,2,,,Obligation
March,7,0.03,5,2,,,Obligation
March,7,0.04,5,2,,,Obligation
March,7,0.05,3,2,,,Obligation
March,7,0.06,2,2,,,Obligation
March,7,0.07,2,2,,,Obligation
March,7,0.08,2,2,,,Obligation
March,7,0.09,2,2,,,Obligation
March,7,0.1,2,2,,,Obligation
March,7,0.11,3,2,,,Obligation
March,7,0.12,3,2,,,Obligation
March,7,0.13,3,2,,,Obligation
March,7,0.14,3,2,,,Obligation
March,7,0.15,3,2,,,Obligation
March,7,0.16,5,2,,,Obligation
March,7,1.64,20,1,,,Obligation
March,7,1.64,12,7,,,Obligation
March,7,1.67,15,1,,,Obligation
March,7,1.67,9,7,,,Obligation
March,7,1.7,15,1,,,Obligation
March,7,1.7,9,7,,,Obligation
March,7,1.73,10,1,,,Obligation
March,7,1.73,6,7,,,Obligation
March,7,1.76,5,1,,,Obligation
March,7,1.76,3,7,,,Obligation
March,7,1.79,5,1,,,Obligation
March,7,1.79,3,7,,,Obligation
March,7,1.82,5,1,,,Obligation
March,7,1.82,3,7,,,Obligation
March,7,1.85,5,1,,,Obligation
March,7,1.85,3,7,,,Obligation
March,7,1.88,5,1,,,Obligation
March,7,1.88,3,7,,,Obligation
March,7,1.91,10,1,,,Obligation
March,7,1.91,6,7,,,Obligation
March,7,1.94,10,1,,,Obligation
March,7,1.94,6,7,,,Obligation
March,7,1.97,10,1,,,Obligation
March,7,1.97,6,7,,,Obligation
March,7,2,10,1,,,Obligation
March,7,2,6,7,,,Obligation
March,7,2.03,10,1,,,Obligation
